shregion,Child.morality,Nutrition,School.attendance,Years.of.schooling,Electricity,Drinking.water,Sanitation,Housing,Assets,Cooking...fuel,weights,share.of.pop,Population.2016,Population.size.by...region
baringo,0.0389630936134179,0.311064948854148,0.0747300301769754,0.155555450080302,0.155555450080302,0.747348436169942,0.636120083486763,1,0.376681327101281,0.97733813168455,16159.6619,0.0113236059282109,48461.567,548.75968737159
uasin gishu,0.0346409696125842,0.252435199190681,0.00591229960476687,0.042875072988264,0.042875072988264,0.363666229596168,0.743806033687978,0.972287371180131,0.195546530943598,0.89780027419709,35727.93568,0.0250357381715261,48461.567,1213.27110279387
elgeyo marak,0.0130628189087142,0.2404677199816,0.00542876067518831,0.0531282195044916,0.0531282195044916,0.480041970768205,0.711089179360847,1,0.325596501991543,0.987123683516314,12345.11595,0.00865062827557494,48461.567,419.223001768869
nandi,0.0349633460169659,0.240917930352491,0.0284974684387432,0.0505114340228522,0.0505114340228522,0.498119248276792,0.797063136834278,0.992307035060884,0.277598991044757,0.969870142291438,30082.3651,0.0210797014126245,48461.567,1021.5553623479
laikipia,0.0223734107751823,0.235532425604759,0.0541625291123907,0.157784106687337,0.157784106687337,0.516571492081003,0.845719762355312,0.982681565867886,0.21241897731145,0.906546800226837,15071.38336,0.0105610134059572,48461.567,511.803258760693
nakuru,0.0612923039767606,0.18159373230843,0.0105961454451149,0.0523673038842576,0.0523673038842576,0.419609060929021,0.733581746196292,0.974458028194715,0.164858287558089,0.830567064364108,65346.40484,0.0457903724602984,48461.567,2219.07320293971
narok,0.0443753675979665,0.352278788982483,0.0727698725351637,0.182427193623273,0.182427193623273,0.797662107463834,0.68053669183171,0.997707931872549,0.31855814075152,0.965996760229923,34611.64136,0.0242535140719253,48461.567,1175.36329718205
kajiado,0.0238060646601728,0.177308482087916,0.0638440605446908,0.179911225800325,0.179911225800325,0.366792773735802,0.712026287272857,0.940533769154308,0.212852266427801,0.603181821238694,26994.28898,0.0189157850339534,48461.567,916.68858378053
kericho,0.0307771933932397,0.229797742987809,0.0123334056970804,0.0467513721212932,0.0467513721212932,0.584671896790633,0.433432378270761,0.99592385955979,0.320558564258263,0.965168075563531,26136.0153,0.0183143644726188,48461.567,887.542800952236
bomet,0.042354063061406,0.325832915855502,0.0182995135915631,0.0323222195808593,0.0323222195808593,0.640268694476018,0.90795065543348,0.995515414031212,0.291321837219236,0.978830918051324,33540.22209,0.0235027353939772,48461.567,1138.9793859785
kakamega,0.0373481871909674,0.250177435762586,0.023598126042735,0.0767685815552277,0.0767685815552277,0.425044823096104,0.832864001720913,0.996031779750527,0.214629477906255,0.966730411227009,56940.38279,0.0398999966772475,48461.567,1933.61636227421
vihiga,0.0496542031574115,0.17025177272201,0.0212645566952598,0.0866817404713734,0.0866817404713734,0.363805918899864,0.854592298693929,0.996950157720335,0.22988888629975,0.982872014779137,19714.8326,0.0138148308228556,48461.567,669.488349515482
bungoma,0.0427913455861322,0.235643671242767,0.0581312982724645,0.0437304174210212,0.0437304174210212,0.580883767752584,0.898813345376938,0.9945705664525,0.278544380330688,0.980371909627187,61384.29858,0.0430139944511807,48461.567,2084.52557403352
busia,0.0506654335773966,0.230272365764631,0.0394291845908432,0.127486372140286,0.127486372140286,0.569814217066468,0.897947050522981,0.998319790353915,0.283572078864261,0.969009658938093,28879.25332,0.020236641466902,48461.567,980.69935630325
